"Cód. Pergunta","Pergunta","Opção A","Opção B","Opção C","Opção D","Correta","Referência Bíblica","Texto Bíblico Transcrito (TNM)"
10001,"Quem recebeu a ordem de Deus para construir uma arca?","Noé","Moisés","Abraão","Davi","Noé","Gênesis 6:13-14","(13) Depois disso Deus disse a Noé: “Decidi pôr um fim a toda a humanidade... (14) Faça para você uma arca de madeira resinosa.”"
10002,"Que profeta foi lançado na cova dos leões por continuar a orar ao seu Deus?","Daniel","José","Elias","Paulo","Daniel","Daniel 6:16","Então o rei deu a ordem, e eles trouxeram Daniel e o lançaram na cova dos leões."
10003,"Quem traiu Jesus por 30 moedas de prata?","Judas Iscariotes","Pedro","Tiago","Tomé","Judas Iscariotes","Mateus 26:14-15","(14) Então um dos Doze, chamado Judas Iscariotes, foi aos principais sacerdotes (15) e lhes disse: “O que me darão para que eu o traia a vocês?” Eles lhe estipularam 30 moedas de prata."
10004,"Qual foi o primeiro milagre de Jesus registrado no livro de João?","Transformar água em vinho","Curar um cego","Andar sobre as águas","Multiplicar pães","Transformar água em vinho","João 2:9","Quando o encarregado da festa provou a água que tinha sido transformada em vinho..."
10005,"Quem Jeová usou para dividir as águas do Mar Vermelho?","Moisés","Josué","Elias","Noé","Moisés","Êxodo 14:21","Moisés estendeu então a mão sobre o mar, e Jeová fez o mar retroceder..."
10006,"Que profeta, ao fugir de sua designação, foi engolido por um grande peixe?","Jonas","Elias","Daniel","Abraão","Jonas","Jonas 1:17","Então Jeová fez com que um grande peixe engolisse Jonas, e Jonas ficou no ventre do peixe por três dias e três noites."
10007,"Quem foi o primeiro homem a ser ungido como rei sobre a nação de Israel?","Saul","Davi","Salomão","Ezequias","Saul","1 Samuel 10:1","Samuel pegou o frasco de óleo e o derramou sobre a cabeça de Saul. Então o beijou e disse: “Não foi Jeová que te ungiu como líder sobre a sua herança?”"
10008,"Quem interpretou os sonhos de Faraó sobre as vacas e as espigas de grãos?","José","Moisés","Elias","Daniel","José","Gênesis 41:25","Então José disse a Faraó: “Os sonhos de Faraó têm um só significado. O verdadeiro Deus anunciou a Faraó o que ele está para fazer.”"
10009,"No Monte Sinai, quem recebeu de Deus as duas tábuas de pedra com os Dez Mandamentos?","Moisés","Josué","Arão","Elias","Moisés","Êxodo 31:18","Assim que tinha acabado de falar com ele no monte Sinai, deu a Moisés as duas Tábuas do Testemunho, tábuas de pedra, escritas pelo dedo de Deus."
10010,"Que apóstolo, anteriormente conhecido como Saulo, foi chamado de 'vaso escolhido' para levar o nome de Jesus às nações?","Paulo","Pedro","João","Tiago","Paulo","Atos 9:15","Mas o Senhor lhe disse: “Vá, porque esse homem é para mim um vaso escolhido para levar o meu nome às nações, bem como a reis e aos filhos de Israel.”"
10011,"Quem foi escolhido por Jeová para suceder Moisés e liderar Israel?","Josué","Calebe","Arão","Samuel","Josué","Josué 1:1-2","(1) Depois da morte de Moisés, servo de Jeová, Jeová disse a Josué, filho de Num, ajudante de Moisés: (2) “...agora, levante-se, atravesse este Jordão, você e todo este povo, e entre na terra que dou a eles, aos israelitas.”"
10012,"As muralhas de que cidade caíram depois que os israelitas marcharam ao seu redor e tocaram as buzinas?","Jericó","Jerusalém","Babilônia","Nínive","Jericó","Josué 6:20","Assim que o povo ouviu o som da buzina e o alto grito de guerra, as muralhas de Jericó ruíram totalmente."
10013,"Qual juiz de Israel era conhecido por sua força extraordinária, que vinha de seu voto de nazireu?","Sansão","Gideão","Jefté","Samuel","Sansão","Juízes 14:6","Então o espírito de Jeová lhe deu poder, e ele rasgou o leão em dois..."
10014,"Qual era o nome da esposa de Abraão, que deu à luz Isaque em sua velhice?","Sara","Rebeca","Lia","Raquel","Sara","Gênesis 21:2","E Sara ficou grávida e deu a Abraão um filho na sua velhice..."
10015,"Em que cidade Jesus nasceu, cumprindo uma profecia?","Belém","Nazaré","Jerusalém","Cafarnaum","Belém","Mateus 2:1","Depois de Jesus ter nascido em Belém da Judeia, nos dias do Rei Herodes..."
10016,"Que profeta foi levado aos céus num vendaval, por meio de uma carruagem de fogo?","Elias","Eliseu","Isaías","Jeremias","Elias","2 Reis 2:11","Enquanto andavam e conversavam, apareceu de repente uma carruagem de fogo com cavalos de fogo, e os separou; e Elias subiu aos céus num vendaval."
10017,"Que rei construiu o primeiro templo para Jeová em Jerusalém?","Salomão","Davi","Saul","Ezequias","Salomão","1 Reis 6:1","No ano 480 depois de os israelitas terem saído da terra do Egito... Salomão começou a construir a casa de Jeová."
10018,"Qual apóstolo negou Jesus três vezes antes de um galo cantar?","Pedro","Judas","João","Tomé","Pedro","Mateus 26:75","Então Pedro se lembrou do que Jesus tinha dito: “Antes que o galo cante, você me negará três vezes.” E, saindo, chorou amargamente."
10019,"Quem foi a primeira mulher, criada por Deus a partir da costela do homem?","Eva","Maria","Rute","Ester","Eva","Gênesis 2:22","E da costela que havia tirado do homem, Jeová Deus fez uma mulher e a trouxe ao homem."
10020,"Quem era o irmão de Moisés e foi designado como o primeiro sumo sacerdote de Israel?","Arão","Josué","Calebe","Miriã","Arão","Êxodo 28:1","Depois, mande chamar seu irmão Arão, e com ele os seus filhos, dentre os israelitas, para que me sirvam como sacerdotes..."
